編號,縣市別,診所名稱,順天堂,莊松榮,立康(康福顆粒),勝昌,勸奉堂,華佗,天一,漢聖,天明,科達,富田,仙豐,更新時間,公費清冠一號,自費清冠一號,星期日特約門診,診療長新冠症狀,是否提供公費,電話,地址,,,,,,,,,,,
14,基隆市,瑞明中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-24661119,基隆市東信路156-1號,,,,,,,,,,,
15,基隆市,阿蔓中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-24566859,基隆市七堵區崇智街10號,,,,,,,,,,,
16,基隆市,李金澤中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-24220707,基隆市仁愛區愛一路26號2樓,,,,,,,,,,,
17,基隆市,慈靉中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-24568770,基隆市七堵區光明路19號,,,,,,,,,,,
18,基隆市,聯合中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-24282669,基隆市仁愛區孝二路10號,,,,,,,,,,,
19,台北市,欣百漢中醫診所,0,0,60,0,0,0,0,0,0,0,0,0,2023-02-09 12:56:30,是,是,,是,是,02-27631523,台北市松山區南京東路五段80號,,,,,,,,,,,
20,台北市,鴻成中醫診所,0,214,0,0,45,128,12,23,0,0,12,0,2023-02-09 12:46:59,是,是,是,是,是,02-26308699,台北市內湖區康樂街86號1F,,,,,,,,,,,
21,台北市,理想中醫診所,0,0,0,0,20,0,0,0,5,0,0,0,2023-02-09 09:47:25,是,是,,是,是,02-27688080,台北市松山區南京東路五段46號2樓,,,,,,,,,,,
22,台北市,華泰中醫診所,0,0,0,0,0,66,0,0,0,0,0,0,2023-02-09 09:45:29,是,是,,是,是,02-27651125,台北市松山區新東街66巷18號1樓,,,,,,,,,,,
23,台北市,慈護晶璽中醫診所,0,0,0,0,29,0,0,0,0,0,0,0,2023-02-09 09:41:07,是,是,,是,是,02-27493328,台北市信義區松信路38號,,,,,,,,,,,
24,台北市,寧波中醫診所,0,15,0,5,0,60,5,0,0,0,0,0,2023-02-09 09:09:37,是,是,,是,是,02-23218849,台北市寧波西街80-1號,,,,,,,,,,,
25,台北市,天一中醫診所,0,3,0,0,30,0,0,0,0,0,10,0,2023-02-09 08:52:32,是,是,,是,是,02-25925151,台北市大同區重慶北路三段98號,,,,,,,,,,,
26,台北市,漢方中醫聯合診所,0,0,0,0,0,0,87,0,0,0,0,0,2023-02-09 08:48:49,是,是,,是,是,02-23013637,台北市萬華區西園路2段254巷5號,,,,,,,,,,,
27,台北市,仲佑中醫診所,12,2,0,0,0,12,0,0,0,0,0,0,2023-02-09 08:38:17,是,是,,是,是,02-25706899,台北市松山區八德路三段212號1樓,,,,,,,,,,,
28,台北市,日明耀中醫診所,0,0,0,0,55,0,0,0,0,0,0,0,2023-02-09 07:54:43,是,是,,是,是,02-23611190,台北市中正區重慶南路一段66之1號2樓,,,,,,,,,,,
29,台北市,同德中醫診所,0,0,0,0,0,0,0,21,0,0,0,0,2023-02-09 00:49:31,是,是,,是,是,02-27865257,台北市南港區同德路30號,,,,,,,,,,,
30,台北市,天和堂中醫診所,0,0,0,0,180,10,0,0,0,0,0,0,2023-02-09 00:32:07,是,是,,是,是,02-29352905,台北市文山區景美街1－5號1樓,,,,,,,,,,,
31,台北市,杏福中醫診所,15,0,0,0,0,0,0,0,14,0,0,0,2023-02-09 00:11:19,是,是,,是,是,02 27551587,台北市大安區復興南路二段131號一樓,,,,,,,,,,,
32,台北市,全德中醫診所,0,0,60,0,0,0,0,0,0,0,0,0,2023-02-09 11:55:42,是,是,,是,是,02-23682482,台北市大安區羅斯福路三段37號3樓,,,,,,,,,,,
33,台北市,雙連中醫診所,25,0,0,0,12,40,0,0,0,0,0,0,2023-02-09 11:39:38,是,是,是,是,是,02-25115018,台北市中山區民生西路6號9樓,,,,,,,,,,,
34,台北市,騏安中醫診所,0,0,0,0,0,73,20,0,0,0,4,0,2023-02-09 11:36:33,是,是,,是,是,02-26308591,台北市金湖路386號,,,,,,,,,,,
35,台北市,天方中醫診所,0,20,0,15,0,0,0,18,0,0,6,0,2023-02-09 11:30:42,是,是,,是,是,02-28363363,台北市士林區中山北路六段157巷14號1樓,,,,,,,,,,,
36,台北市,通化祥寧中醫診所,0,0,0,0,0,30,0,20,0,0,0,0,2023-02-09 11:24:31,是,是,,是,是,02-27006777,"台北市大安區通化街26-5號,1~2樓",,,,,,,,,,,
37,台北市,泰興中醫診所,30,10,0,5,0,23,0,0,0,0,32,0,2023-02-09 11:10:28,是,是,,是,是,02-27970013,台北市內湖路一段629巷10號1樓,,,,,,,,,,,
38,台北市,翰林中醫診所,0,0,0,0,8,0,0,0,20,0,0,0,2023-02-09 10:49:29,是,是,,是,是,02-77307376,台北市南港區研究院路一段27號,,,,,,,,,,,
39,台北市,上璽中醫診所,0,20,0,0,50,0,0,0,0,0,10,0,2023-02-09 10:48:56,是,是,,是,是,02-27013103,台北市大安區信義路四段一號7樓之1,,,,,,,,,,,
40,台北市,惠眾中醫診所,0,0,0,0,10,0,0,0,0,0,0,0,2023-02-09 10:30:56,是,是,,是,是,02-28336191,台北市士林區美德街70號,,,,,,,,,,,
41,台北市,宏福中醫診所,0,0,0,0,47,48,0,0,0,0,4,0,2023-02-09 10:27:35,是,是,,是,是,02-29370913,台北市文山區木柵路一段182號1樓,,,,,,,,,,,
42,台北市,澄玥中醫診所,0,0,0,0,0,0,0,0,200,0,0,0,2023-02-09 10:16:01,是,是,,是,是,02-21001206,台北市中山區松江路100巷1號1樓,,,,,,,,,,,
43,台北市,雲鼎中醫診所,0,0,0,0,0,0,0,0,200,0,0,0,2023-02-09 10:14:55,是,是,,是,是,02-27513377,台北市大安區光復南路306號,,,,,,,,,,,
44,台北市,雲品中醫診所,0,0,0,0,0,0,0,0,200,0,0,0,2023-02-09 10:14:31,是,是,,是,是,02-27117931,台北市大安區忠孝東路四段216巷19弄4號,,,,,,,,,,,
45,台北市,澄觀中醫診所,0,0,0,0,0,0,0,0,120,0,0,0,2023-02-09 10:12:43,是,是,,是,是,02-25235956,台北市中山區吉林路23號,,,,,,,,,,,
46,台北市,大直北安中醫診所,0,0,0,0,0,12,3,0,0,0,0,0,2023-02-08 18:02:05,是,是,,是,是,02-25329533,台北市中山區北安路575號,,,,,,,,,,,
47,台北市,德霖中醫診所,0,0,0,5,0,0,0,0,0,0,0,0,2023-02-08 15:47:45,是,是,,是,是,02-27001886,台北市大安區信義路四段168號1樓,,,,,,,,,,,
48,台北市,得原中醫診所,0,2,0,0,0,20,0,0,0,0,10,0,2023-02-08 14:26:11,是,是,,是,是,02-25026561,台北市北市中山區錦州街259號1樓,,,,,,,,,,,
49,台北市,星福中醫診所,0,0,0,0,0,0,0,0,10,0,0,0,2023-02-08 14:14:39,是,是,,是,是,02-29312622,台北市文山區景興路93號,,,,,,,,,,,
50,台北市,新光醫院,250,0,0,0,0,0,0,0,0,0,0,0,2023-02-08 08:40:14,是,是,,是,是,02-28332211-3626,台北市士林區士商路51號,,,,,,,,,,,
51,台北市,士林錦禾中醫診所,0,0,0,28,0,0,0,0,8,0,0,0,2023-02-08 08:17:33,是,是,,,是,02-88665128,台北市士林區士東路16號,,,,,,,,,,,
52,台北市,錦禾中醫診所,0,0,0,31,0,0,0,0,0,34,0,0,2023-02-08 08:16:13,是,是,,,是,02-87519565,台北市內湖區港墘路121號,,,,,,,,,,,
53,台北市,學德堂中醫診所,0,0,0,0,200,0,10,0,100,0,0,0,2023-02-08 07:53:59,是,是,,是,是,02-25171171,台北市中山區松江路97巷2-1號,,,,,,,,,,,
54,台北市,滋和堂中醫診所,0,0,0,6,0,0,0,0,3,0,0,0,2023-02-07 17:56:30,是,,,是,是,02-25233380,台北市中山區新生北路一段59-1號,,,,,,,,,,,
55,台北市,三軍總醫院附設民眾診療服務處,0,4,0,0,0,0,0,0,0,0,0,0,2023-02-07 23:10:04,是,是,,是,是,02-87923311,台北市內湖區成功路2段325號,,,,,,,,,,,
56,台北市,佳譽堂中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2023-02-06 21:59:46,是,是,,是,是,02-23931718,台北市中正區寧波西街71號,,,,,,,,,,,
57,台北市,醫心堂中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2023-02-06 16:00:24,是,是,,是,是,02-27840007,台北市大安區信義路四段267號二樓,,,,,,,,,,,
58,台北市,天璽中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2023-02-06 14:56:32,是,是,,是,是,02-28281138,台北市北市北投區裕民二路33巷2號1樓,,,,,,,,,,,
59,台北市,隆豪中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2023-02-06 23:51:11,是,是,,是,是,02-28239999,台北市北投區明德路157號1樓,,,,,,,,,,,
60,台北市,昇陽一品中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2023-02-06 23:50:16,是,是,,是,是,02-87728286,台北市大安區敦化南路一段236巷9號,,,,,,,,,,,
61,台北市,昇陽中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2023-02-06 23:49:02,是,是,,是,是,02-33936980,台北市大安區潮州街85號,,,,,,,,,,,
62,台北市,台北馬偕紀念醫院,0,0,0,0,0,0,0,0,0,0,0,0,2023-02-05 21:26:32,是,是,,是,是,02-25433535,台北市中山區中山北路二段92號,,,,,,,,,,,
63,台北市,德昌中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2023-02-05 15:05:19,是,是,,是,是,02-25772818,台北市松山區延吉街38號1樓,,,,,,,,,,,
64,台北市,新生中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2023-02-04 16:53:34,是,是,,是,是,02-25178068,台北市中山區興安街91號,,,,,,,,,,,
65,台北市,健群中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2023-02-04 08:55:52,是,,,是,是,02-28222986,台北市北投區石牌路一段166巷116號,,,,,,,,,,,
66,台北市,鼎昌中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2023-02-02 12:50:51,是,,,,是,02-27311069,台北市中山區南京東路三段200號3樓之2,,,,,,,,,,,
67,台北市,厚德中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2023-02-02 12:33:06,是,是,,是,是,02-23582378,台北市中正區南昌路一段53號,,,,,,,,,,,
68,台北市,太淵中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2023-02-02 11:13:03,是,是,,是,是,02-27530606,台北市信義區松山路335號,,,,,,,,,,,
69,台北市,石牌尊賢中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-31 08:40:51,是,是,,是,是,02-28285001,台北市北投區尊賢街249巷2號,,,,,,,,,,,
70,台北市,興安養生堂中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-27 14:38:50,是,是,,是,是,02-25183672,台北市中山區興安街51之6號,,,,,,,,,,,
71,台北市,台北人生中醫,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-24 03:46:04,是,是,,是,是,0800-220-533,台北市大同區重慶北路二段74號,,,,,,,,,,,
72,台北市,台北長庚紀念醫院,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-27135211#3683,台北市松山區敦化北路199號,,,,,,,,,,,
73,台北市,中國醫藥大學附設醫院臺北分院,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-27919696,台北市內湖區內湖路二段360號,,,,,,,,,,,
74,台北市,台北醫學大學附設醫院,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-21765226,台北市信義區吳興街252號,,,,,,,,,,,
75,台北市,仁和堂中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-25288868,台北市松山區八德路四段201號,,,,,,,,,,,
76,台北市,博康中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-27629895,台北市松山區南京東路五段280號1F,,,,,,,,,,,
77,台北市,民昇中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-37656099,台北市民生東路五段87號,,,,,,,,,,,
78,台北市,欣悦中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-87707080,台北市松山區南京東路四段193號,,,,,,,,,,,
79,台北市,渼生堂中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-25794195,台北市松山區八德路三段138號,,,,,,,,,,,
80,台北市,春日和中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-27790189,台北市松山區復興北路81巷35號,,,,,,,,,,,
81,台北市,金龍堂中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-23636868,台北市大安區泰順街17號一樓,,,,,,,,,,,
82,台北市,醫道堂黃中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-27016215,台北市大安區延吉街233之3號二樓,,,,,,,,,,,
83,台北市,吉辰中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-27382324,台北市大安區復興南路二段321號,,,,,,,,,,,
84,台北市,宏秀堂中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-27710877,台北市政大安區忠孝東路三段217巷2弄16號1樓,,,,,,,,,,,
85,台北市,瑞康中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-27080053,台北市大安區瑞安街208巷24弄12號,,,,,,,,,,,
86,台北市,薇晶中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-87717892,台北市大安區忠孝東路四段270號2樓之1,,,,,,,,,,,
87,台北市,景崧現代中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-87322299,台北市大安區臨江里基隆路二段148號,,,,,,,,,,,
88,台北市,大觀堂中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-27112123,台北市大安區延吉街118號,,,,,,,,,,,
89,台北市,吉升堂中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-23625430,台北市泰順街44巷13號,,,,,,,,,,,
90,台北市,樂業中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-87322199,台北市大安區樂業街59號,,,,,,,,,,,
91,台北市,明悦中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-27713370,台北市大安區忠孝東路四段210-1號9樓,,,,,,,,,,,
92,台北市,易明中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-23696926,台北市大安區辛亥路2段39號,,,,,,,,,,,
93,台北市,康禾中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-23630363,台北市大安區羅斯福路三段275號2樓,,,,,,,,,,,
94,台北市,樂陽中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-23773456,台北市大安區和平東路三段304號,,,,,,,,,,,
95,台北市,忠孝昌盛堂中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-27785836,台北市大安區忠孝東路4段205巷7弄1號3樓,,,,,,,,,,,
96,台北市,詠恩中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-27337285,台北市大安區和平東路三段236號,,,,,,,,,,,
97,台北市,保惠中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-87320566,台北市大安區嘉興街363巷18弄1號,,,,,,,,,,,
98,台北市,陳潮宗中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-25922222,台北市大同區民權西路127號,,,,,,,,,,,
99,台北市,明昇中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-25583915,台北市大同區赤峰街13號1樓,,,,,,,,,,,
100,台北市,良元中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-25553399,台北市大同區長安西路51-1號,,,,,,,,,,,
101,台北市,新悅中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-25531488,台北市大同區民生西路71號1樓,,,,,,,,,,,
102,台北市,京水堂中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-25585592,台北市南京西路22號3樓,,,,,,,,,,,
103,台北市,德全中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-25632582,台北市中山區錦卅街171號,,,,,,,,,,,
104,台北市,朝暉中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-25182307,台北市中山區龍江路281巷1號2樓,,,,,,,,,,,
105,台北市,有聲中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-25603773,台北市中山區中原街50號,,,,,,,,,,,
106,台北市,恩濟堂中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-25175059,台北市中山區復興北路514巷63號,,,,,,,,,,,
107,台北市,駿琳大直中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-85091995,台北市北安路598之一號,,,,,,,,,,,
108,台北市,常生中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-25212098,台北市中山區長安東路二段47號,,,,,,,,,,,
109,台北市,元氣堂中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-25719337,台北市中山區吉林路223號,,,,,,,,,,,
110,台北市,仁心堂中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-25053781,台北市中山區長春路267號1樓,,,,,,,,,,,
111,台北市,景欣中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-25683568,台北市中山區南京東路2段95號2樓,,,,,,,,,,,
112,台北市,禾儒中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-25671380,台北市中山區松江路268號5樓,,,,,,,,,,,
113,台北市,傳愛經典中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-27723883,台北市中山區龍江路29號,,,,,,,,,,,
114,台北市,詠生中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-85021050,台北市中山區樂群二路196號,,,,,,,,,,,
115,台北市,東仁中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-25033580,台北市錦州街275號,,,,,,,,,,,
116,台北市,林國榮中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-25626033,台北市民生東路二段112號,,,,,,,,,,,
117,台北市,昌盛堂中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-25183936,台北市中山區松江路277號2樓,,,,,,,,,,,
118,台北市,吉林中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-25986995,台北市中山區吉林路428號,,,,,,,,,,,
119,台北市,醫誠堂中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-25179672,台北市中山區龍江路185-1號一樓,,,,,,,,,,,
120,台北市,麗風堂中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-25113660,台北市中山區中山北路二段12號2樓,,,,,,,,,,,
121,台北市,晴光中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-25976377,台北市中山區雙城街四巷2號,,,,,,,,,,,
122,台北市,祐瑞中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-87120669,台北市中山區松江路69巷11號1樓,,,,,,,,,,,
123,台北市,璟榮中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-26320077,台北市東湖路43巷31號,,,,,,,,,,,
124,台北市,麗馨中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-26331255,台北市內湖區東湖路120號2樓,,,,,,,,,,,
125,台北市,恩光中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-87977598,台北市內湖區江南街15號,,,,,,,,,,,
126,台北市,建榮中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-27918895,台北市內湖區成功路三段174巷16號,,,,,,,,,,,
127,台北市,善品中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-87926922,台北市內湖區成功路四段30巷22號,,,,,,,,,,,
128,台北市,瀚威中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-87917761,台北市內湖區新明路277號,,,,,,,,,,,
129,台北市,杞子中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-27830383,台北市南港區南港路一段 169號2樓,,,,,,,,,,,
130,台北市,信愛中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-28349339,台北市士林區文林路478號1樓,,,,,,,,,,,
131,台北市,新長庚中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-28837886,台北市士林區大東路176號一樓,,,,,,,,,,,
132,台北市,寬安中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-28369117,台北市士林區士東路50號,,,,,,,,,,,
133,台北市,顏居雲中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-28817190,台北市士林區華齡街72號1樓,,,,,,,,,,,
134,台北市,仰德中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-28751600,台北市士林區天母北路18號,,,,,,,,,,,
135,台北市,福華中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-88665458,台北市忠誠路二段76巷8號1樓,,,,,,,,,,,
136,台北市,一春堂中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-28321239,台北市士林區德行東路187-1號,,,,,,,,,,,
137,台北市,悅展中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-28128132,台北市士林區延平北路五段243號,,,,,,,,,,,
138,台北市,指筌中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-88666146,台北市士林區德行西路102號1樓,,,,,,,,,,,
139,台北市,寶安中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-28825335,台北市士林區中正路407號1樓,,,,,,,,,,,
140,台北市,芝音中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-28368810,台北市士林區福華路128巷10號,,,,,,,,,,,
141,台北市,承新中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-28815566,台北市士林區中正路203號2樓,,,,,,,,,,,
142,台北市,社子中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-28160106,台北市士林區延平北路六段87號,,,,,,,,,,,
143,台北市,承德中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-28823866,台北市士林區大南路277號1樓,,,,,,,,,,,
144,台北市,士林同仁中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-8883889,台北市士林區文林路402號,,,,,,,,,,,
145,台北市,泰昌堂中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-28385608,台北市中山北路六段208號2F,,,,,,,,,,,
146,台北市,耕德中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-228930606,台北市北投區中央北路一段38號,,,,,,,,,,,
147,台北市,華杏中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-28214822,台北市北投區西安街一段369號二樓,,,,,,,,,,,
